Transaction_ID,Customer_ID,Time_ID,Location_ID,Device_ID,Account_ID,Transaction_Type_ID,Recent_Transaction_Amount,Risk_Score,Is_Fraudulent
TXN000001,CUST00957,1,1,1,1,1,4988.161154,0.356,0
TXN000002,CUST00990,2,1,2,2,2,2505.946342,0.183,0
TXN000003,CUST00300,3,2,3,3,2,3312.937763,0.494,0
TXN000004,CUST00491,4,3,1,4,3,1610.874455,0.331,0
TXN000005,CUST00647,5,4,2,5,4,2076.682994,0.48,0
TXN000006,CUST00045,6,5,1,6,5,1654.064809,0.43,0
TXN000007,CUST00354,7,6,3,7,5,460.9444529,0.491,0
TXN000008,CUST00169,8,3,1,8,2,3100.829776,0.34,0
TXN000009,CUST00999,9,7,3,9,4,2780.271565,0.515,0
TXN000010,CUST00867,10,8,2,10,5,1848.368686,0.099,0
TXN000011,CUST00984,11,9,3,11,2,2031.533007,0.312,0
TXN000012,CUST00958,12,3,3,12,1,2810.694412,0.231,0
TXN000013,CUST00102,13,7,3,13,4,1192.324462,0.063,0
TXN000014,CUST00706,14,6,3,14,5,1324.222575,0.429,0
TXN000015,CUST00414,15,2,2,15,2,3520.053089,0.408,0
TXN000016,CUST00072,16,2,1,16,4,2449.114846,0.458,0
TXN000017,CUST00483,17,10,1,17,1,3456.496556,0.483,0
TXN000018,CUST00476,18,2,2,18,3,301.066624,0.358,0
TXN000019,CUST00008,19,9,2,19,5,2255.289007,0.231,0
TXN000020,CUST00368,20,10,1,20,2,425.1967781,0.47,0
TXN000021,CUST00964,21,1,1,21,2,4429.942669,0,0
TXN000022,CUST00461,22,7,1,22,4,2404.395785,0.157,0
TXN000023,CUST00940,23,2,2,23,5,4984.476417,0.142,0
TXN000024,CUST00552,24,10,2,24,3,2708.498623,0.413,0
TXN000025,CUST00187,25,9,3,25,4,2160.875113,0,0
TXN000026,CUST00047,26,8,2,26,4,352.0387215,0.316,0
TXN000027,CUST00948,27,1,3,27,4,1437.370778,0.284,0
TXN000028,CUST00864,28,5,1,28,1,109.0078521,0.225,0
TXN000029,CUST00479,29,9,3,29,3,680.8307393,0.374,0
TXN000030,CUST00893,30,9,2,30,1,1984.852025,0.43,0
TXN000031,CUST00691,31,1,3,31,4,2156.640566,0.491,0
TXN000032,CUST00196,32,4,1,32,1,1581.729767,0.263,0
TXN000033,CUST00629,33,6,2,33,1,1075.172226,0.278,0
TXN000034,CUST00268,34,9,1,34,5,2577.659282,0.205,0
TXN000035,CUST00889,35,10,1,35,5,2542.87257,0.092,0
TXN000036,CUST00483,36,1,2,17,3,376.8364213,0.469,0
TXN000037,CUST00656,37,10,2,36,5,3187.633191,0.038,0
TXN000038,CUST00212,38,4,2,37,3,3239.16879,0.285,0
TXN000039,CUST00237,39,3,1,38,4,1577.577055,0.628,0
TXN000040,CUST00148,40,1,1,39,3,3359.74518,0.206,0
TXN000041,CUST00360,41,5,2,40,5,4162.729122,0.195,0
TXN000042,CUST00947,42,2,3,41,2,96.2696676,0.54,0
TXN000043,CUST00078,43,1,3,42,1,333.1806026,0.155,0
TXN000044,CUST00660,44,8,1,43,4,3445.722172,0.236,0
TXN000045,CUST00057,45,2,1,44,1,449.2302686,0.117,0
TXN000046,CUST00705,46,5,3,45,4,2962.396339,0.482,0
TXN000047,CUST00172,47,5,3,46,1,4468.729393,0.196,0
TXN000048,CUST00777,48,2,3,47,4,1299.775073,0.238,0
TXN000049,CUST00934,49,2,1,48,2,4952.104932,0.125,0
TXN000050,CUST00085,50,7,1,49,3,2722.591399,0.024,0
TXN000051,CUST00605,51,5,2,50,2,1009.349507,0.297,0
TXN000052,CUST00866,52,3,3,51,2,2865.881613,0.236,0
TXN000053,CUST00323,53,10,3,52,5,4511.489252,0.574,0
TXN000054,CUST00675,54,4,1,53,1,4401.077806,0,0
TXN000055,CUST00744,55,4,1,54,1,1702.434038,0.352,0
TXN000056,CUST00094,56,5,2,55,2,3209.915904,0.39,0
TXN000057,CUST00560,57,6,3,56,1,3445.620902,0.262,0
TXN000058,CUST00751,58,6,3,57,3,2319.61082,0.411,0
TXN000059,CUST00306,59,6,3,58,2,2010.143072,0.16,0
TXN000060,CUST00765,60,5,1,59,4,390.6949257,0,0
TXN000061,CUST00584,61,1,3,60,5,2007.121883,0.345,0
TXN000062,CUST00821,62,1,1,61,3,2927.130364,0.322,0
TXN000063,CUST00450,63,1,1,62,1,1719.672658,0.444,0
TXN000064,CUST00588,64,10,2,63,5,1279.687416,0.264,0
TXN000065,CUST00264,65,8,1,64,5,1310.351129,0.497,0
TXN000066,CUST00432,66,6,2,65,1,2489.113164,0.422,0
TXN000067,CUST00778,67,10,3,66,3,4953.3878,0.748,0
TXN000068,CUST00965,68,10,1,67,5,4554.915256,0,0
TXN000069,CUST00488,69,6,2,68,5,1267.193531,0.259,0
TXN000070,CUST00711,70,6,3,69,5,3032.743432,0.274,0
TXN000071,CUST00802,71,7,1,70,1,4453.966688,0.407,0
TXN000072,CUST00587,72,5,1,71,1,2445.117481,0.461,0
TXN000073,CUST00931,73,6,2,72,1,858.8352529,0.173,0
TXN000074,CUST00115,74,3,1,73,2,3544.692139,0.281,0
TXN000075,CUST00267,75,2,3,74,3,2547.336222,0,0
TXN000076,CUST00457,26,2,2,75,3,264.5281055,0.632,0
TXN000077,CUST00221,76,4,3,76,4,1691.444884,0.263,0
TXN000078,CUST00273,77,3,3,77,2,4668.774705,0.34,0
TXN000079,CUST00401,78,8,2,78,1,3795.327856,0.345,0
TXN000080,CUST00811,7,4,1,79,2,426.3074373,0.116,0
TXN000081,CUST00875,79,7,2,80,3,4096.679976,0.334,0
TXN000082,CUST00684,80,5,2,81,3,2566.569399,0.342,0
TXN000083,CUST00050,81,6,3,82,3,3026.533596,0.189,0
TXN000084,CUST00197,82,6,3,83,4,3215.725098,0.466,0
TXN000085,CUST00492,83,1,2,84,1,643.6664973,0.41,0
TXN000086,CUST00231,84,10,3,85,4,4443.728831,0.371,0
TXN000087,CUST00379,85,1,3,86,1,1736.892659,0.504,0
TXN000088,CUST00788,65,5,3,87,5,2767.561836,0.221,0
TXN000089,CUST00815,86,1,1,88,5,1606.895646,0.516,0
TXN000090,CUST00751,87,3,1,57,3,3704.386344,0.607,0
TXN000091,CUST00490,88,7,2,89,4,1596.045756,0.11,0
